_source.consumerRating,_score,_source.votes,_source.regularPrice,_source.tastingDescription,_source.availableUnits,_source.certificates,_source.name,_source.style,_source.subCategory.description,_source.alcoholPercentage,_source.sweetness,_source.countryName,lat,lon,country_code02,country_code03
3.5,0.60144746,84,19.99,"90 Points, Gismondi On Wine: ""This pecorino is grown on north-facing (cooler) calcareous laced soils in Piomba and Colle Sale, and from 150 - 350m. Almonds, lemon, bosc pear sail through this slender white, finishing with a flush of alluring salinity. Lovely food white with spaghetti alle vonvole, or steamed mussels."" (December 2021)
",887,[],ABRUZZO PECORINO - BARONE DI VALFORTE 2020,,Italy Wine,13.0,0.0,Italy,42.6384261,12.674297,IT,ITA
4.1,0.60144746,18,14.99,"This classic Pinot Grigio shows flavours of citrus, white peach and a hint of pear. A crisp sea-spray mineral note leads to a clean, refreshing finish. It's the perfect wine to enjoy as an aperitif or paired with seafood, summer salads or shrimp risotto.
",2723,[],ABRUZZO PINOT GRIGIO - MARE DI SIRENA,,Italy Wine,12.5,0.0,Italy,42.6384261,12.674297,IT,ITA
3.6,0.60144746,293,20.99,"An aromatic and sweet white sparkling wine. Pale yellow in colour, the nose is fresh and intriguing, with hints of white flowers, peaches and citrus zest. It pairs well with pastries, pies or stuffed peaches. It makes for an excellent dessert wine.
",2306,[],ACQUESI  - ASTI,,Italy Wine,7.0,8.0,Italy,42.6384261,12.674297,IT,ITA
4.2,0.5958729,233,23.99,"An ample and broad bouquet that is infused with dark spice, dried blackberry and a slightly malolactic hint of milk chocolate. The finish is long and dusty, but there there is enough primary fruit to make this a very presentable red to drink. 
",1305,[],AGLIANICO DEL VULTURE - BASILISCO TEODOSIO 2019,,Italy Wine,13.5,0.0,Italy,42.6384261,12.674297,IT,ITA
3.6,0.60144746,116,22.99,"90 Points, Vinous: ""Fresh red berries, citrus fruits and floral notes on the fragrant nose. Dry and energetic in the mouth, offering lively strawberry, cherry and tangerine flavors that flesh out through the midpalate. Closes long and subtly spicy, with repeating citrus fruit and floral character.""
",1,[],AIX EN PROVENCE ROSE - BIELER PERE & FILS CUVEE SABINE 2020,,France Wine,13.0,0.0,France,46.603354,1.8883335,FR,FRA
4.3,0.60144746,117,19.99,"93 Points, Decanter's Rose Wines of the Year 2020 - ""Ripe stone fruit, summer berries and rose aromas. Raspberry and ripe cherry provide sunny, warm fruits on the palate that sit alongside balanced acidity and an appealing weight.
",814,[],AIX EN PROVENCE ROSE - CHATEAU BARBEBELLE ROSE FLEURI 2021,,France Wine,13.0,0.0,France,46.603354,1.8883335,FR,FRA
3.9,0.5958729,29,21.97,"89 Points, Wine Enthusiast: ""Minerally orange and lime aromas are clean and direct, while this feels full but foamy. Apple, green melon and green herb flavors finish with a touch of sweetness."" (November 2021)
",42,['Organic'],ALBET I NOYA - PETIT ALBET PENEDES BRUT RESERVA ORGANIC 2017,,Spain Wine,12.0,1.0,Spain,39.3260685,-4.8379791,ES,ESP
4.6,0.60144746,17,31.99,"Decanter, 93 points: ""Moreto has the starring role in this blend, setting the tone, with a flavoursome, mellow palate. Savoury oak and cured leather notes lead on the nose and palate. Rich gusty dried fig and spicy, bay-leaf-accented currant fruit throughout. Ripe mouth-coating tannins lend depth, whilst persistent mineral acidity brings length of flavour.""
",312,[],ALENTEJANO - BOJADOR SPECIAL EDITION VINHO TINTO,,Portugal Wine,14.5,0.0,Portugal,39.6621648,-8.1353519,PT,PRT
4.0,0.60144746,85,15.99,"90 Points Wine Enthusiast: """"A rich, solid blend of Touriga Nacional, Tinto Roriz, Syrah and Alicante Bouschet, the wine has a fine balance between cool tannins and bold black fruits. It is a wine that will age further with its juicy acidity and tannins. Drink from 2021."" (November 2020)
",2241,[],ALENTEJANO - CASA SANTOS LIMA QUID PRO QUO,,Portugal Wine,14.0,0.0,Portugal,39.6621648,-8.1353519,PT,PRT
4.1,0.5958729,97,14.99,"This little Portuguese gem is a solid choice for sipping or pairing, and is sure to please with its silky smoothness and good fruit concentration. 
",1811,[],ALENTEJANO - SEGREDOS DE SAO MIGUEL,,Portugal Wine,13.5,0.0,Portugal,39.6621648,-8.1353519,PT,PRT
